Cell-Type,AUC
E003,0.7594488859176636
E004,0.7808330059051514
E005,0.8017246723175049
E006,0.7903695106506348
E007,0.7547453045845032
E011,0.7713563442230225
E012,0.7760440111160278
E013,0.8032693266868591
E016,0.7801914811134338
E024,0.7757141590118408
E027,0.8169806599617004
E028,0.7992460131645203
E037,0.8085972666740417
E038,0.8141724467277527
E047,0.8227136135101318
E050,0.7999386191368103
E053,0.8043265342712402
E054,0.8006203174591064
E055,0.8395005464553833
E056,0.8827155232429504
E057,0.8769142031669617
E058,0.835281252861023
E059,0.8595712780952454
E061,0.8384039402008057
E062,0.8040050864219666
E065,0.7591512799263
E066,0.8151427507400513
E070,0.7634692192077637
E071,0.7364548444747925
E079,0.7362175583839417
E082,0.780168890953064
E084,0.7363930344581604
E085,0.7413213849067688
E087,0.7477167844772339
E094,0.7362197637557983
E095,0.8244937062263489
E096,0.7357810139656067
E097,0.7649679780006409
E098,0.7380461096763611
E100,0.8867165446281433
E104,0.7609655857086182
E105,0.7917321920394897
E106,0.7580448389053345
E109,0.7498374581336975
E112,0.7143731117248535
E113,0.7192674875259399
E114,0.8323897123336792
E116,0.8946900963783264
E117,0.890295684337616
E118,0.8439579606056213
E119,0.8279878497123718
E120,0.8399658799171448
E122,0.8293576240539551
E123,0.9025979042053223
E127,0.8318616151809692
E128,0.8359156847000122
