Cell-Type,AUC
E003,0.773901104927063
E004,0.7946820259094238
E005,0.7998524308204651
E006,0.7981926202774048
E007,0.7754037380218506
E011,0.7738770246505737
E012,0.7854714393615723
E013,0.807007908821106
E016,0.791237473487854
E024,0.7812196612358093
E027,0.8168860077857971
E028,0.8081537485122681
E037,0.8080115914344788
E038,0.8120626211166382
E047,0.8225634694099426
E050,0.8008008003234863
E053,0.8101779222488403
E054,0.8034234642982483
E055,0.8420295119285583
E056,0.8816816806793213
E057,0.8807455897331238
E058,0.8397973775863647
E059,0.8631988763809204
E061,0.8360964059829712
E062,0.8055524826049805
E065,0.7602160573005676
E066,0.8132783770561218
E070,0.7653340697288513
E071,0.7367532253265381
E079,0.7342904210090637
E082,0.7835438251495361
E084,0.7385920882225037
E085,0.7353695034980774
E087,0.7475734353065491
E094,0.7329987287521362
E095,0.8209925293922424
E096,0.7289229035377502
E097,0.7651612758636475
E098,0.7364670634269714
E100,0.8909534811973572
E104,0.7778098583221436
E105,0.7938907146453857
E106,0.7639410495758057
E109,0.7439528107643127
E112,0.710761547088623
E113,0.7170170545578003
E114,0.8323548436164856
E116,0.8921634554862976
E117,0.894061803817749
E118,0.8441451191902161
E119,0.8291947841644287
E120,0.8440635204315186
E122,0.8300554752349854
E123,0.902295708656311
E127,0.836883008480072
E128,0.8397150635719299
