Cell-Type,AUC
E003,0.7655629712899349
E004,0.7868208263630481
E005,0.8055497626217386
E006,0.8200775459604885
E007,0.7678068877201701
E011,0.7769120900826434
E012,0.7873332796673242
E013,0.7975492396268757
E016,0.7862224749404796
E024,0.7754081693593569
E027,0.8092938618324048
E028,0.8071846788919427
E037,0.8046148234690678
E038,0.808948675907424
E047,0.821523162058535
E050,0.7988879843250599
E053,0.8050662207394729
E054,0.7936354254805427
E055,0.8279078307833344
E056,0.8586958957329328
E057,0.8550188966635291
E058,0.8253793362430771
E059,0.8422067052416955
E061,0.8344646339262417
E062,0.8071206474352878
E065,0.7607732964385961
E066,0.8072064130864965
E070,0.7621030742088256
E071,0.7285225332595237
E079,0.735431326167021
E082,0.7823859576689519
E084,0.7335345013809811
E085,0.7387513164163592
E087,0.7449805576007229
E094,0.7273203792712696
E095,0.8121458061328911
E096,0.724368892649937
E097,0.7473090060228462
E098,0.7354510768776411
E100,0.8736256743638159
E104,0.783146275807849
E105,0.7824141518522253
E106,0.7332146076386207
E109,0.7215360444539998
E112,0.706171675739049
E113,0.7205607027430182
E114,0.8230938416422289
E116,0.8806306238632085
E117,0.8850774852170701
E118,0.8306378027110631
E119,0.8230745894501752
E120,0.8347445105611321
E122,0.8282852512846758
E123,0.8874003754283708
E127,0.8279634056995345
E128,0.8284447233433097
