Cell-Type,AUC
E003,0.7621039748191833
E004,0.7948774099349976
E005,0.8013246059417725
E006,0.8112527132034302
E007,0.7720471620559692
E011,0.7703143954277039
E012,0.7835021615028381
E013,0.8032283782958984
E016,0.7824383974075317
E024,0.7730704545974731
E027,0.804301381111145
E028,0.8005926012992859
E037,0.8026125431060791
E038,0.8060009479522705
E047,0.8158723711967468
E050,0.7989115715026855
E053,0.807762622833252
E054,0.7985473871231079
E055,0.8323086500167847
E056,0.866102933883667
E057,0.8691707253456116
E058,0.8309342861175537
E059,0.8490805625915527
E061,0.8352563381195068
E062,0.8054503202438354
E065,0.7590671181678772
E066,0.8103520274162292
E070,0.758975625038147
E071,0.735377311706543
E079,0.7373663783073425
E082,0.7785648703575134
E084,0.7363103628158569
E085,0.7340381741523743
E087,0.7507706880569458
E094,0.7320041656494141
E095,0.8131008148193359
E096,0.7281932830810547
E097,0.7596223950386047
E098,0.7285476922988892
E100,0.8841214179992676
E104,0.7785440683364868
E105,0.7858889102935791
E106,0.757000207901001
E109,0.7354871034622192
E112,0.706201434135437
E113,0.7193131446838379
E114,0.8271480798721313
E116,0.8825383186340332
E117,0.8863486051559448
E118,0.8343707919120789
E119,0.8245266079902649
E120,0.8387613892555237
E122,0.8281216621398926
E123,0.8871307969093323
E127,0.8333598375320435
E128,0.8347788453102112
