Cell-Type,AUC
E003,0.7780638337135315
E004,0.8092461228370667
E005,0.8213319778442383
E006,0.8162708282470703
E007,0.7823543548583984
E011,0.7714175581932068
E012,0.7928773760795593
E013,0.8036113977432251
E016,0.7999393939971924
E024,0.779745876789093
E027,0.8084834218025208
E028,0.8059518337249756
E037,0.8185235261917114
E038,0.8207402229309082
E047,0.830101728439331
E050,0.8008612394332886
E053,0.8089376091957092
E054,0.7987278699874878
E055,0.8382575511932373
E056,0.8836338520050049
E057,0.880998969078064
E058,0.8394044637680054
E059,0.8696345686912537
E061,0.8364237546920776
E062,0.8146569132804871
E065,0.7569484710693359
E066,0.8103847503662109
E070,0.7720493078231812
E071,0.7383315563201904
E079,0.7432581186294556
E082,0.7918341159820557
E084,0.7380521893501282
E085,0.7472397685050964
E087,0.751474142074585
E094,0.7378329038619995
E095,0.8199411034584045
E096,0.7267959117889404
E097,0.758959174156189
E098,0.7346805334091187
E100,0.881665825843811
E104,0.7752146124839783
E105,0.7923493385314941
E106,0.7653003931045532
E109,0.7385463714599609
E112,0.7167153358459473
E113,0.7324309945106506
E114,0.8310562372207642
E116,0.8961983919143677
E117,0.8966925144195557
E118,0.8425213694572449
E119,0.8256146311759949
E120,0.8423747420310974
E122,0.8365170955657959
E123,0.9021117687225342
E127,0.838635265827179
E128,0.8314056396484375
