Cell-Type,AUC
E003,0.755759596824646
E004,0.7897942662239075
E005,0.7943911552429199
E006,0.7912864685058594
E007,0.7556070685386658
E011,0.7616369724273682
E012,0.7748970985412598
E013,0.7915142178535461
E016,0.7727212905883789
E024,0.7663912773132324
E027,0.7994794249534607
E028,0.7947717905044556
E037,0.7951030731201172
E038,0.7989509105682373
E047,0.8068337440490723
E050,0.7957122325897217
E053,0.7974694967269897
E054,0.7981563806533813
E055,0.8320351243019104
E056,0.8763046860694885
E057,0.8684497475624084
E058,0.8292540311813354
E059,0.8547136783599854
E061,0.8269971609115601
E062,0.798419713973999
E065,0.7466138005256653
E066,0.8057568073272705
E070,0.7610843777656555
E071,0.7238413691520691
E079,0.7296384572982788
E082,0.7831457853317261
E084,0.7338739633560181
E085,0.7375714778900146
E087,0.7445268034934998
E094,0.7225340604782104
E095,0.8114979863166809
E096,0.7302370667457581
E097,0.7469640970230103
E098,0.7308217287063599
E100,0.8761991262435913
E104,0.7755226492881775
E105,0.7789598703384399
E106,0.7548401355743408
E109,0.7279667854309082
E112,0.7081577777862549
E113,0.7225690484046936
E114,0.8206712007522583
E116,0.8881539106369019
E117,0.8895896673202515
E118,0.8401477932929993
E119,0.8182693719863892
E120,0.8354696035385132
E122,0.8271805047988892
E123,0.8982229232788086
E127,0.8291032314300537
E128,0.8243090510368347
