Cell-Type,AUC
E003,0.7519965171813965
E004,0.7911902070045471
E005,0.7987661957740784
E006,0.7999494075775146
E007,0.7677276134490967
E011,0.7658697962760925
E012,0.776382565498352
E013,0.7938339710235596
E016,0.7765535116195679
E024,0.7743330597877502
E027,0.8052529692649841
E028,0.7940921783447266
E037,0.7978750467300415
E038,0.8010010719299316
E047,0.8128693103790283
E050,0.7905228734016418
E053,0.8016961216926575
E054,0.7933902740478516
E055,0.8290673494338989
E056,0.8676513433456421
E057,0.8661000728607178
E058,0.830842137336731
E059,0.8480660319328308
E061,0.8314013481140137
E062,0.8007423877716064
E065,0.7566370964050293
E066,0.810467004776001
E070,0.7554755806922913
E071,0.7357497215270996
E079,0.7322864532470703
E082,0.7789342403411865
E084,0.7310753464698792
E085,0.739271879196167
E087,0.7447013854980469
E094,0.7318858504295349
E095,0.8086451292037964
E096,0.7331222891807556
E097,0.7551125288009644
E098,0.7222265005111694
E100,0.8774728775024414
E104,0.7747621536254883
E105,0.7861683964729309
E106,0.754585862159729
E109,0.7326121926307678
E112,0.6968067288398743
E113,0.7247533798217773
E114,0.8261153101921082
E116,0.8825608491897583
E117,0.8832324743270874
E118,0.834701418876648
E119,0.815959095954895
E120,0.8336808085441589
E122,0.8296247720718384
E123,0.8944201469421387
E127,0.8303166627883911
E128,0.8298551440238953
