Cell-Type,AUC
E003,0.7649068422120728
E004,0.7824274854476196
E005,0.8035800977642454
E006,0.8183961246202429
E007,0.76613777484122
E011,0.7748026869432287
E012,0.7850887609053245
E013,0.7956109872303203
E016,0.783345079060323
E024,0.7704670521086024
E027,0.8078659424102651
E028,0.8043878314149482
E037,0.8006946114609751
E038,0.8047233523831862
E047,0.8198921340837636
E050,0.7994881625850336
E053,0.8033629883185265
E054,0.7920470624011849
E055,0.825044592197657
E056,0.8569442458331347
E057,0.8542851323787337
E058,0.8251467168804201
E059,0.8406375120018899
E061,0.8336295995856768
E062,0.8052898092480641
E065,0.7588759239088703
E066,0.806178026766262
E070,0.7623722649232854
E071,0.7285103920526942
E079,0.7344829708589927
E082,0.7813222231017694
E084,0.7339468669474919
E085,0.7376096303679804
E087,0.7434896474791353
E094,0.7253522034132005
E095,0.8099940863754227
E096,0.7192336690416988
E097,0.7470427859838609
E098,0.7350975000356755
E100,0.8724522618446586
E104,0.7809772222905016
E105,0.7795115435023693
E106,0.725856876733026
E109,0.7205880893710618
E112,0.7058680494603038
E113,0.7173878345902047
E114,0.8223177226329179
E116,0.8780533620986676
E117,0.88456133681736
E118,0.8278836589609413
E119,0.8238997550278346
E120,0.8327949913246572
E122,0.8270363499814022
E123,0.8852080926109228
E127,0.8252447009093248
E128,0.8263269544769237
