Cell-Type,AUC
E003,0.7732543349266052
E004,0.7971616983413696
E005,0.8127583265304565
E006,0.8083354830741882
E007,0.7765848636627197
E011,0.774135172367096
E012,0.7885335683822632
E013,0.8086190819740295
E016,0.7965759634971619
E024,0.7832288146018982
E027,0.8188838958740234
E028,0.8105608224868774
E037,0.8104549646377563
E038,0.8197605013847351
E047,0.8281093835830688
E050,0.8062248826026917
E053,0.813208281993866
E054,0.8114535808563232
E055,0.8466710448265076
E056,0.8949845433235168
E057,0.8834292888641357
E058,0.8459432721138
E059,0.8783242702484131
E061,0.8441910743713379
E062,0.8107249140739441
E065,0.769355297088623
E066,0.8181624412536621
E070,0.7753276228904724
E071,0.7379305958747864
E079,0.747104823589325
E082,0.7888877391815186
E084,0.7472705245018005
E085,0.7511964440345764
E087,0.7473052144050598
E094,0.7404134273529053
E095,0.8255661129951477
E096,0.7261834144592285
E097,0.7654240131378174
E098,0.7468416094779968
E100,0.8975562453269958
E104,0.774865448474884
E105,0.7995320558547974
E106,0.7671831250190735
E109,0.7419339418411255
E112,0.7257448434829712
E113,0.7227053642272949
E114,0.844186007976532
E116,0.9005658030509949
E117,0.9069831371307373
E118,0.8459198474884033
E119,0.833655059337616
E120,0.8481477499008179
E122,0.8403868079185486
E123,0.9179351329803467
E127,0.8430349826812744
E128,0.8443223237991333
