Cell-Type,AUC
E003,0.7383982539176941
E004,0.7403293251991272
E005,0.740487277507782
E006,0.7518771886825562
E007,0.7203704714775085
E011,0.7541966438293457
E012,0.7586936354637146
E013,0.765663206577301
E016,0.7582111358642578
E024,0.7432844042778015
E027,0.7730432152748108
E028,0.781794548034668
E037,0.7839658856391907
E038,0.7906325459480286
E047,0.7920520901679993
E050,0.7742032408714294
E053,0.7807376980781555
E054,0.7738434672355652
E055,0.7983192205429077
E056,0.8238627910614014
E057,0.8145204782485962
E058,0.7899072766304016
E059,0.806232750415802
E061,0.7882412672042847
E062,0.7719314098358154
E065,0.710610032081604
E066,0.7820590734481812
E070,0.7315642833709717
E071,0.7082664370536804
E079,0.6988099217414856
E082,0.7575030326843262
E084,0.7140775322914124
E085,0.7171670198440552
E087,0.7120518684387207
E094,0.6912315487861633
E095,0.7710605263710022
E096,0.6865143179893494
E097,0.7404993176460266
E098,0.6837978959083557
E100,0.8413206934928894
E104,0.7365847826004028
E105,0.7620108723640442
E106,0.7190610766410828
E109,0.7123236656188965
E112,0.6900253891944885
E113,0.6721066832542419
E114,0.7937433123588562
E116,0.861104428768158
E117,0.8630864024162292
E118,0.8067598938941956
E119,0.8003633618354797
E120,0.8090572953224182
E122,0.8096262812614441
E123,0.8648486733436584
E127,0.8086138367652893
E128,0.8131937384605408
