Cell-Type,AUC
E003,0.744547426700592
E004,0.7843645811080933
E005,0.7562788724899292
E006,0.792637825012207
E007,0.7572042942047119
E011,0.7467923164367676
E012,0.7394100427627563
E013,0.7724990248680115
E016,0.7515339255332947
E024,0.7487536668777466
E027,0.780960202217102
E028,0.7808574438095093
E037,0.7737941741943359
E038,0.7806006669998169
E047,0.7905522584915161
E050,0.7726267576217651
E053,0.7793587446212769
E054,0.7763245105743408
E055,0.8111862540245056
E056,0.8514100313186646
E057,0.8374239206314087
E058,0.8073577880859375
E059,0.8415297269821167
E061,0.8069943189620972
E062,0.7749917507171631
E065,0.7407153844833374
E066,0.7862066030502319
E070,0.7460393905639648
E071,0.7197477221488953
E079,0.709917426109314
E082,0.7704760432243347
E084,0.7156372666358948
E085,0.7185827493667603
E087,0.7175525426864624
E094,0.7233680486679077
E095,0.7949054837226868
E096,0.6940365433692932
E097,0.7374645471572876
E098,0.7222759127616882
E100,0.8652156591415405
E104,0.7417256832122803
E105,0.7708620429039001
E106,0.7329562306404114
E109,0.709845781326294
E112,0.6730204820632935
E113,0.6979827284812927
E114,0.8101186752319336
E116,0.8564698100090027
E117,0.8697861433029175
E118,0.8174481391906738
E119,0.802344560623169
E120,0.8154159784317017
E122,0.8072072863578796
E123,0.8712443113327026
E127,0.8045969009399414
E128,0.807239830493927
