Cell-Type,AUC
E003,0.785881508543108
E004,0.8200281520456333
E005,0.8322203677843318
E006,0.826038419717289
E007,0.795528713012195
E011,0.7726515123237901
E012,0.7974997764463918
E013,0.8079759329824541
E016,0.7932660363779754
E024,0.7804056952320244
E027,0.817725907512507
E028,0.8200812708644283
E037,0.8293252237381025
E038,0.8350072591046928
E047,0.840458188517796
E050,0.8055501502174142
E053,0.8068045958015281
E054,0.8044338212627887
E055,0.8452745112454305
E056,0.9021919013448507
E057,0.8953454404810328
E058,0.8426330578512395
E059,0.877708224712946
E061,0.843655207326524
E062,0.8252036180372039
E065,0.7737668068710722
E066,0.8151466173152043
E070,0.7734446234591517
E071,0.7432270473708497
E079,0.7523949806210212
E082,0.7967364289752079
E084,0.7299202152268858
E085,0.7402958982851078
E087,0.758702892232337
E094,0.752845044540003
E095,0.8325379521703606
E096,0.7430772473177664
E097,0.7645932138037401
E098,0.7566532688447856
E100,0.9036386606092853
E104,0.7935461952358909
E105,0.7931916412145638
E106,0.7728516414354667
E109,0.7542652892561985
E112,0.7234753759262829
E113,0.7470882421295385
E114,0.8403253906618675
E116,0.9081917377542369
E117,0.9158350701767961
E118,0.850034242916998
E119,0.83212122325762
E120,0.8413337181017371
E122,0.8401308212534774
E123,0.9208446039688857
E127,0.8360687717838007
E128,0.8384579947079946
