Cell-Type,AUC
E003,0.7769612073898315
E004,0.8064616322517395
E005,0.8169047832489014
E006,0.8112636208534241
E007,0.7825442552566528
E011,0.7739135026931763
E012,0.7937018871307373
E013,0.7931374311447144
E016,0.7875692844390869
E024,0.7848695516586304
E027,0.8062255382537842
E028,0.8039458990097046
E037,0.8190797567367554
E038,0.8237484693527222
E047,0.8244153261184692
E050,0.8019317388534546
E053,0.806990921497345
E054,0.8019439578056335
E055,0.8353704810142517
E056,0.890864908695221
E057,0.8841509819030762
E058,0.84041827917099
E059,0.8760043978691101
E061,0.8340334892272949
E062,0.8129592537879944
E065,0.7622864842414856
E066,0.8168869614601135
E070,0.7722064256668091
E071,0.7408850789070129
E079,0.7424966096878052
E082,0.7877254486083984
E084,0.7380106449127197
E085,0.7427875995635986
E087,0.7466645240783691
E094,0.7370207905769348
E095,0.820176362991333
E096,0.7302616238594055
E097,0.7609363794326782
E098,0.7345839738845825
E100,0.8862718343734741
E104,0.7748554944992065
E105,0.7847161293029785
E106,0.7594635486602783
E109,0.7426831722259521
E112,0.7196324467658997
E113,0.7326322793960571
E114,0.8303099274635315
E116,0.8987239599227905
E117,0.9004152417182922
E118,0.8400083780288696
E119,0.8240141868591309
E120,0.8424326181411743
E122,0.8331717848777771
E123,0.9043508768081665
E127,0.8352934718132019
E128,0.8287060856819153
